ticker,accuracy,f1_score,auc,TP,FP,FN,TN
TSLA,0.5094339622641509,0.6,0.4891103728313031,39,28,24,15
MSFT,0.5754189944134078,0.7195571955719557,0.49029079930081043,195,144,8,11
AMZN,0.47413793103448276,0.2375,0.509716327898146,19,20,102,91
GOOGL,0.5551948051948052,0.6698795180722892,0.522484756097561,139,112,25,32
GE,0.4793388429752066,0.5909090909090909,0.5018568186507117,182,212,40,50
GS,0.4776536312849162,0.050761421319796954,0.5220608899297424,5,9,178,166
IBM,0.5454545454545454,0.5089285714285714,0.5290433290433291,114,75,145,150
JPM,0.5247933884297521,0.547244094488189,0.5351331045199187,139,126,104,115
FB,0.5566037735849056,0.591304347826087,0.5710705334765485,34,24,23,25
AAPL,0.5,0.45592705167173253,0.5242739898989899,75,56,123,104
