ticker,accuracy,f1_score,auc,TP,FP,FN,TN
TSLA,0.4528301886792453,0.48214285714285715,0.46105574012550754,27,22,36,21
MSFT,0.5363128491620112,0.5786802030456852,0.5553789925313841,114,77,89,78
AMZN,0.521551724137931,0.6855524079320113,0.5074826893008711,121,111,0,0
GOOGL,0.5422077922077922,0.6318537859007833,0.4970359078590786,121,98,43,46
GE,0.4669421487603306,0.5150375939849624,0.47506189395502374,137,173,85,89
GS,0.49162011173184356,0.21551724137931033,0.5101639344262295,25,24,158,151
IBM,0.5,0.4851063829787234,0.5195366795366796,114,97,145,128
JPM,0.4834710743801653,0.27325581395348836,0.4665915339036593,47,54,196,187
FB,0.5566037735849056,0.7080745341614907,0.5614035087719298,57,47,0,2
AAPL,0.4441340782122905,0.12334801762114538,0.5107638888888889,14,15,184,145
