ticker,accuracy,f1_score,auc,TP,FP,FN,TN
TSLA,0.42452830188679247,0.41904761904761906,0.4149132521225545,22,20,41,23
MSFT,0.5670391061452514,0.7237076648841355,0.48437946925154934,203,155,0,0
AMZN,0.521551724137931,0.6855524079320113,0.46117191571737026,121,111,0,0
GOOGL,0.564935064935065,0.6616161616161617,0.5331978319783198,131,101,33,43
GE,0.5041322314049587,0.5759717314487632,0.5333367718863903,163,181,59,81
GS,0.5111731843575419,0.2857142857142857,0.5323653395784543,35,27,148,148
IBM,0.4896694214876033,0.4642082429501085,0.5046761046761047,107,95,152,130
JPM,0.49586776859504134,0.18120805369127516,0.5233679968580844,27,28,216,213
FB,0.5283018867924528,0.5098039215686274,0.5495882563551736,26,19,31,30
AAPL,0.4664804469273743,0.22040816326530613,0.501641414141414,27,20,171,140
